Ticker,Description,Pre-market Close,Pre-market Change %,Pre-market Gap %,Pre-market Volume,Price,Change %,Volume,Post-market Close,Post-market Change %,Post-market Volume,Technical Rating,Market Capitalization
PRPH,"ProPhase Labs, Inc.",9.346,2.36582694,-1.57393209,725,8.25,-9.63855422,160723,8.4615,2.56363636,2156,Neutral,141758450.60241000
WNEB,"Western New England Bancorp, Inc.",,,,,5.85,-4.87804878,160670,5.85,0,6520,Strong Sell,129932312.48780500
JAKK,"JAKKS Pacific, Inc.",,,,,22.65,-3.12232678,157319,22.65,0,2866,Buy,223576485.641574
MOFG,"MidWestOne Financial Group, Inc.",,,,,18.75,0.21378942,155094,18.75,0,33823,Sell,293912336.9855690
LRMR,"Larimar Therapeutics, Inc.",4.8,4.34782609,4.34782609,100,4.74,3.04347826,153761,4.74,0,2436,Buy,205096000.78695700
PVBC,"Provident Bancorp, Inc.",,,,,5.8,-9.51638066,150972,5.92,2.06896552,6869,Strong Sell,102680799.46957900
LIVB,LIV Capital Acquisition Corp. II,,,,,10.53,0.38035862,150532,,,,Buy,132082181.25534900
PNAC,Prime Number Acquisition I Corp.,,,,,10.535,0.04748338,150303,,,,Buy,89140806.98005700
AKYA,"Akoya BioSciences, Inc.",7,-3.04709141,-3.04709141,900,7.09,-1.80055402,149529,7.09,0,9912,Sell,271844197.6772850
MRAM,"Everspin Technologies, Inc.",,,,,7.09,7.42424242,148747,6.96,-1.83356841,2980,Strong Buy,144928500.09848500
INTT,inTest Corporation,19.83,0,-0.05042864,400,19.05,-3.93343419,148608,19.05,0,1808,Sell,211861903.38880500
CRMD,CorMedix Inc.,5.06,0.3968254,0.3968254,500,4.94,-1.98412698,146283,4.94,0,3314,Buy,219828962.0119050
CMTL,Comtech Telecommunications Corp.,,,,,10.46,-1.96813496,146076,10.46,0,24930,Sell,291456746.9147140
NECB,"NorthEast Community Bancorp, Inc.",,,,,12.7,-2.38278248,145728,12.7,0,2426,Sell,195974064.11222100
CSTR,"CapStar Financial Holdings, Inc.",,,,,11.385,-8.84707766,140413,11.385,0,8782,Strong Sell,245432881.3078460
ASPS,Altisource Portfolio Solutions S.A.,4.33,1.64319249,1.64319249,200,4.5,5.63380282,139491,4.28,-4.88888889,1655,Buy,93666700.35211270
ANNX,"Annexon, Inc.",,,,,5.21,2.76134122,139349,5.21,0,5932,Buy,263069871.03550300
IKNA,"Ikena Oncology, Inc.",,,,,6.28,7.90378007,135001,6.28,0,2629,Strong Buy,227697056.83848800
