date, open, high, low, close, adjusted close, volume, dividend amount, split coefficient,ticker
2021-11-29,21.47,25.7,19.83,21.8875,21.8875,2874871,0.0000,1.0,OLMA
2021-11-26,22.04,22.48,20.15,20.87,20.87,259883,0.0000,1.0,OLMA
2021-11-24,20.08,22.97,19.87,22.17,22.17,659831,0.0000,1.0,OLMA
2021-11-23,21.24,22.28,19.16,20.43,20.43,747479,0.0000,1.0,OLMA
2021-11-22,22.75,22.95,20.925,21.25,21.25,238560,0.0000,1.0,OLMA
2021-11-19,24.77,24.98,20.79,22.76,22.76,1379679,0.0000,1.0,OLMA
2021-11-18,24.4,25.65,24.17,24.92,24.92,554997,0.0000,1.0,OLMA
2021-11-17,26.34,27.265,24.05,25.3,25.3,482393,0.0000,1.0,OLMA
2021-11-16,26.3,26.97,25.56,26.45,26.45,411594,0.0000,1.0,OLMA
2021-11-15,27.39,27.69,26.14,26.29,26.29,373938,0.0000,1.0,OLMA
2021-11-12,27.32,27.39,26.58,27.02,27.02,323565,0.0000,1.0,OLMA
2021-11-11,27.95,28.26,26.94,27.09,27.09,223732,0.0000,1.0,OLMA
2021-11-10,26.94,28.395,26.52,26.78,26.78,334605,0.0000,1.0,OLMA
2021-11-09,27.35,27.8,26.425,26.8,26.8,277869,0.0000,1.0,OLMA
2021-11-08,27.95,28.32,27.19,27.35,27.35,193199,0.0000,1.0,OLMA
2021-11-05,27.7,29.74,27.7,27.89,27.89,345516,0.0000,1.0,OLMA
2021-11-04,27.95,28.98,27.95,28.74,28.74,363676,0.0000,1.0,OLMA
2021-11-03,26.76,28.66,26.6,28.0,28.0,231809,0.0000,1.0,OLMA
2021-11-02,27.08,27.995,26.36,26.83,26.83,330805,0.0000,1.0,OLMA
2021-11-01,26.98,27.715,26.97,27.0,27.0,240052,0.0000,1.0,OLMA
2021-10-29,26.505,28.9706,26.46,27.0,27.0,317118,0.0000,1.0,OLMA
2021-10-28,26.93,28.0,26.245,26.93,26.93,433037,0.0000,1.0,OLMA
2021-10-27,27.0,28.455,25.675,26.82,26.82,285605,0.0000,1.0,OLMA
2021-10-26,28.0,28.49,27.07,27.09,27.09,373022,0.0000,1.0,OLMA
2021-10-25,27.75,28.22,27.13,28.0,28.0,345738,0.0000,1.0,OLMA
2021-10-22,28.64,28.64,27.42,27.78,27.78,273288,0.0000,1.0,OLMA
2021-10-21,29.9,30.405,28.38,28.5,28.5,320607,0.0000,1.0,OLMA
2021-10-20,27.01,32.19,27.01,30.0,30.0,1853899,0.0000,1.0,OLMA
2021-10-19,28.26,29.27,26.73,26.8,26.8,302235,0.0000,1.0,OLMA
2021-10-18,29.275,30.955,28.3,28.5,28.5,269891,0.0000,1.0,OLMA
2021-10-15,31.15,31.635,29.555,30.71,30.71,299244,0.0000,1.0,OLMA
2021-10-14,29.66,31.4099,29.66,30.55,30.55,305099,0.0000,1.0,OLMA
2021-10-13,28.74,30.17,28.62,29.86,29.86,186385,0.0000,1.0,OLMA
2021-10-12,28.81,30.3069,27.97,29.0,29.0,269365,0.0000,1.0,OLMA
2021-10-11,27.41,28.73,26.87,28.6,28.6,234049,0.0000,1.0,OLMA
2021-10-08,27.43,28.59,26.61,27.39,27.39,194475,0.0000,1.0,OLMA
2021-10-07,28.07,28.11,27.085,27.44,27.44,151753,0.0000,1.0,OLMA
2021-10-06,27.59,28.1913,26.65,27.76,27.76,222006,0.0000,1.0,OLMA
2021-10-05,28.57,29.08,26.91,27.67,27.67,238981,0.0000,1.0,OLMA
